country,Count
Afghanistan,296
Aland Islands,14
Albania,38
Algeria,172
Andorra,1
Angola,50
Antarctica,1
Antigua and Barbuda,2
Argentina,33
Armenia,5
Aruba,9
Australia,390
Austria,228
Azerbaijan,11
Bahamas,51
Bahrain,21
Bangladesh,534
Barbados,24
Belarus,4
Belgium,363
Benin,60
Bermuda,7
Bhutan,33
Bolivia,8
"Bonaire, Sint Eustatius and Saba",1
Bosnia and Herzegovina,24
Botswana,97
Brazil,68
British Indian Ocean Territory,1
Brunei,41
Bulgaria,67
Burkina Faso,55
Burundi,15
Cambodia,48
Cameroon,98
Canada,1554
Cape Verde,8
Cayman Islands,4
Chad,6
Chile,25
China,106
Colombia,233
Comoros,1
Costa Rica,9
Cote D'ivoire,99
Croatia,56
Cuba,5
Curacao,1
Curaçao,4
Cyprus,26
Czech Republic,290
Denmark,30
Djibouti,7
Dominica,7
Dominican Republic,46
Ecuador,31
Egypt,133
El Salvador,4
Equatorial Guinea,4
Eritrea,2
Estonia,37
Eswatini,32
Ethiopia,534
Faroe Islands,1
Fiji,43
Finland,21
France,2471
French Guiana,10
French Polynesia,47
Gabon,10
Gambia,9
Georgia,21
Germany,440
Ghana,200
Gibraltar,2
Greece,29
Greenland,1
Grenada,9
Guadeloupe,30
Guam,1
Guatemala,7
Guernsey,2
Guinea,34
Guyana,5
Haiti,108
Honduras,5
Hong Kong,57
Hungary,61
Iceland,2
India,738
Indonesia,2036
Iran,13
Ireland,87
Isle of Man,1
Israel,37
Italy,362
Jamaica,105
Japan,15
Jersey,1
Jordan,24
Kazakhstan,14
Kenya,239
Kiribati,2
Kosovo,39
Kuwait,25
Kyrgyzstan,9
Laos,10
Latvia,19
Lesotho,37
Liberia,33
Liechtenstein,1
Lithuania,45
Luxembourg,32
Macedonia,17
Madagascar,122
Malawi,86
Malaysia,1245
Maldives,88
Mali,1
Malta,22
Martinique,14
Mauritania,19
Mauritius,32
Mexico,56
Moldova,12
Monaco,1
Mongolia,34
Montenegro,5
Morocco,218
Mozambique,44
Myanmar,44
Namibia,86
Nauru,2
Nepal,199
Netherlands,468
New Caledonia,10
New Zealand,244
Nicaragua,2
Niger,22
Nigeria,622
North Macedonia,6
Norway,81
Oman,19
Pakistan,638
Palau,7
Palestine,15
Panama,14
Papua New Guinea,83
Paraguay,11
Peru,33
Philippines,1160
Pitcairn,5
Poland,75
Portugal,107
Puerto Rico,3
Qatar,13
Republic of the Congo,9
Reunion,3
Romania,128
Russia,27
Rwanda,104
RÃ©union,26
Réunion,10
Saint Kitts and Nevis,1
Saint Lucia,5
Saint Martin,2
Saint Vincent and The Grenadine,13
Samoa,2
Sao Tome and Principe,3
Saudi Arabia,124
Senegal,44
Serbia,30
Seychelles,4
Sierra Leone,37
Singapore,846
Slovakia,77
Slovenia,140
Solomon Islands,6
South Africa,602
South Georgia and The South Sandwich Islands,1
South Korea,15
Spain,217
Sri Lanka,173
Suriname,6
Sweden,108
Switzerland,158
Syria,4
Taiwan,26
Tajikistan,2
Tanzania,104
Thailand,292
Togo,25
Tonga,2
Trinidad and Tobago,69
Tunisia,95
Turkey,187
Turks and Caicos Islands,4
Uganda,91
Ukraine,64
United Arab Emirates,273
United Kingdom,1577
United States,9
Uruguay,5
Uzbekistan,88
Venezuela,25
Vietnam,1621
Virgin Islands (U.S.),2
Wallis and Futuna,1
Zambia,95
Zimbabwe,62
Åland Islands,31
